School Name,Pincode,SchoolID,Class,Class ID,Stream,Stream ID,Admission Fee,Tenure Admission Fee,Tuition Fees (M),Tenure Tuition Fees (M),Tuition Fees (Q),Tenure Tuition Fees (Q),Development Fees,Tenure Development Fees,Other Fees,Tenure Other Fees,Miscellaneous Charges,Tenure Miscellaneous Charges,Total,Monthly
Rani Public School,110084,508,6,6,,,1200,Onetime,1985,Monthly,,,,,8950,Annually,,,33970,2731
Rani Public School,110084,508,7,7,,,1200,Onetime,2065,Monthly,,,,,8950,Annually,,,34930,2811
Rani Public School,110084,508,8,8,,,1200,Onetime,2170,Monthly,,,,,8950,Annually,,,36190,2916
Rani Public School,110084,508,9,9,,,1200,Onetime,2195,Monthly,,,,,8950,Annually,,,36490,2941
Rani Public School,110084,508,10,10,,,1200,Onetime,2500,Monthly,,,,,8950,Annually,,,40150,3246
Virmani Public School,110007,497,NA,,,,,,,,,,,,,,,,0,0
Nalanda Modern Public School,110084,500,Nursery,12,,,200,Onetime,2550,Monthly,,,2640,Annually,1800,Annually,,,35240,2920
Nalanda Modern Public School,110084,500,KG,13,,,200,Onetime,2560,Monthly,,,2640,Annually,1800,Annually,,,35360,2930
Nalanda Modern Public School,110084,500,1,1,,,200,Onetime,2570,Monthly,,,2640,Annually,1800,Annually,,,35480,2940
Nalanda Modern Public School,110084,500,2,2,,,200,Onetime,2580,Monthly,,,2640,Annually,1800,Annually,,,35600,2950
Nalanda Modern Public School,110084,500,3,3,,,200,Onetime,2620,Monthly,,,2640,Annually,1800,Annually,,,36080,2990
Nalanda Modern Public School,110084,500,4,4,,,200,Onetime,2700,Monthly,,,2640,Annually,1800,Annually,,,37040,3070
Nalanda Modern Public School,110084,500,5,5,,,200,Onetime,2770,Monthly,,,2640,Annually,1800,Annually,,,37880,3140
Nalanda Modern Public School,110084,500,6,6,,,200,Onetime,2850,Monthly,,,3240,Annually,1800,Annually,,,39440,3270
Nalanda Modern Public School,110084,500,7,7,,,200,Onetime,2930,Monthly,,,3240,Annually,1800,Annually,,,40400,3350
Nalanda Modern Public School,110084,500,8,8,,,200,Onetime,3060,Monthly,,,3240,Annually,1800,Annually,,,41960,3480
Nalanda Modern Public School,110084,500,9,9,,,200,Onetime,4010,Monthly,,,3960,Annually,1800,Annually,,,54080,4490
Nalanda Modern Public School,110084,500,10,10,,,200,Onetime,4630,Monthly,,,3960,Annually,1800,Annually,,,61520,5110
Nalanda Modern Public School,110084,500,11th,14,Science,2,200,Onetime,6030,Monthly,,,4800,Annually,1800,Annually,,,79160,6580
Nalanda Modern Public School,110084,500,11th,14,Commerce,1,200,Onetime,4120,Monthly,,,4800,Annually,1800,Annually,,,56240,4670
Nalanda Modern Public School,110084,500,11th,14,Arts,3,200,Onetime,4020,Monthly,,,4800,Annually,1800,Annually,,,55040,4570
Nalanda Modern Public School,110084,500,12th,15,Science,2,200,Onetime,6180,Monthly,,,4800,Annually,1800,Annually,,,80960,6730
Nalanda Modern Public School,110084,500,12th,15,Commerce,1,200,Onetime,4280,Monthly,,,4800,Annually,1800,Annually,,,58160,4830
Nalanda Modern Public School,110084,500,12th,15,Arts,3,200,Onetime,4180,Monthly,,,4800,Annually,1800,Annually,,,56960,4730
Mount Olivet Senior Secondary School,110084,512,1,1,,,200,Onetime,1164,Monthly,,,,,2700,Annually,,,16868,1389
Mount Olivet Senior Secondary School,110084,512,2,2,,,200,Onetime,1164,Monthly,,,,,2700,Annually,,,16868,1389
Mount Olivet Senior Secondary School,110084,512,3,3,,,200,Onetime,1164,Monthly,,,,,2700,Annually,,,16868,1389
Mount Olivet Senior Secondary School,110084,512,4,4,,,200,Onetime,1164,Monthly,,,,,2700,Annually,,,16868,1389
Mount Olivet Senior Secondary School,110084,512,5,5,,,200,Onetime,1164,Monthly,,,,,2700,Annually,,,16868,1389
Mount Olivet Senior Secondary School,110084,512,6,6,,,200,Onetime,1360,Monthly,,,,,2700,Annually,,,19220,1585
Mount Olivet Senior Secondary School,110084,512,7,7,,,200,Onetime,1360,Monthly,,,,,2700,Annually,,,19220,1585
Mount Olivet Senior Secondary School,110084,512,8,8,,,200,Onetime,1360,Monthly,,,,,2700,Annually,,,19220,1585
Mount Olivet Senior Secondary School,110084,512,9,9,,,200,Onetime,1520,Monthly,,,,,2700,Annually,,,21140,1745
Mount Olivet Senior Secondary School,110084,512,10,10,,,200,Onetime,1520,Monthly,,,,,2700,Annually,,,21140,1745
Mount Olivet Senior Secondary School,110084,512,11,14,,,200,Onetime,2310,Monthly,,,,,2700,Annually,,,30620,2535
Mount Olivet Senior Secondary School,110084,512,12,15,,,200,Onetime,2310,Monthly,,,,,2700,Annually,,,30620,2535
Virendra Public School,110054,507,1,1,,,200,Onetime,1900,Monthly,,,,,1000,Annually,,,24000,1983
Virendra Public School,110054,507,2,2,,,200,Onetime,1900,Monthly,,,,,1000,Annually,,,24000,1983
Virendra Public School,110054,507,3,3,,,200,Onetime,1900,Monthly,,,,,1000,Annually,,,24000,1983
Virendra Public School,110054,507,4,4,,,200,Onetime,1900,Monthly,,,,,1000,Annually,,,24000,1983
Virendra Public School,110054,507,5,5,,,200,Onetime,1900,Monthly,,,,,1000,Annually,,,24000,1983
Virendra Public School,110054,507,6,6,,,200,Onetime,2100,Monthly,,,,,1000,Annually,,,26400,2183
Virendra Public School,110054,507,7,7,,,200,Onetime,2100,Monthly,,,,,1000,Annually,,,26400,2183
Virendra Public School,110054,507,8,8,,,200,Onetime,2100,Monthly,,,,,1000,Annually,,,26400,2183
Virendra Public School,110054,507,9,9,,,200,Onetime,2475,Monthly,,,,,1000,Annually,,,30900,2558
Virendra Public School,110054,507,10,10,,,200,Onetime,2475,Monthly,,,,,1000,Annually,,,30900,2558
Virendra Public School,110054,507,11,14,,,200,Onetime,3015,Monthly,,,,,1000,Annually,,,37380,3098
Virendra Public School,110054,507,12,15,,,200,Onetime,3015,Monthly,,,,,1000,Annually,,,37380,3098
Savita Public School,110084,505,1,1,,,200,Onetime,1530,Monthly,,,2600,Annually,8730,Annually,,,29890,2474
Savita Public School,110084,505,2,2,,,200,Onetime,1530,Monthly,,,2600,Annually,8730,Annually,,,29890,2474
Savita Public School,110084,505,3,3,,,200,Onetime,1530,Monthly,,,2600,Annually,8730,Annually,,,29890,2474
Savita Public School,110084,505,4,4,,,200,Onetime,1530,Monthly,,,2600,Annually,8730,Annually,,,29890,2474
Savita Public School,110084,505,5,5,,,200,Onetime,1530,Monthly,,,2600,Annually,8730,Annually,,,29890,2474
Savita Public School,110084,505,6,6,,,200,Onetime,1670,Monthly,,,2800,Annually,10280,Annually,,,33320,2760
Savita Public School,110084,505,7,7,,,200,Onetime,1670,Monthly,,,2800,Annually,10280,Annually,,,33320,2760
Savita Public School,110084,505,8,8,,,200,Onetime,1670,Monthly,,,2800,Annually,10280,Annually,,,33320,2760
Savita Public School,110084,505,9,9,,,200,Onetime,2700,Monthly,,,6400,Annually,20500,Annually,,,59500,4942
Savita Public School,110084,505,10,10,,,200,Onetime,2700,Monthly,,,6400,Annually,20500,Annually,,,59500,4942
D.K. Convent School,110084,518,Nursery,12,,,6000,Onetime,1100,Monthly,,,,,,,,,19200,1100
D.K. Convent School,110084,518,5,5,,,12000,Onetime,1410,Monthly,,,,,,,,,28920,1410
Manava Bhawna Public School,110084,510,1,1,,,200,Onetime,1000,Monthly,,,,,440,Annually,,,12640,1037
Manava Bhawna Public School,110084,510,2,2,,,200,Onetime,1000,Monthly,,,,,440,Annually,,,12640,1037
