country_id,country,state,city,district,district_region,area,pincode
1,India,UttarPradesh,Lucknow,Lucknow,Jindaur,,226103
1,India,UttarPradesh,Lucknow,Lucknow,Juggaur,,226028
1,India,UttarPradesh,Lucknow,Lucknow,Kahla,,226102
1,India,UttarPradesh,Lucknow,Lucknow,Kakori,,226101
1,India,UttarPradesh,Lucknow,Lucknow,Kakrabad,,226102
1,India,UttarPradesh,Lucknow,Lucknow,Kalli Pacchim,,226301
1,India,UttarPradesh,Lucknow,Lucknow,Kalyanpur,,226022
1,India,UttarPradesh,Lucknow,Lucknow,Kamlabad Badauli,,226201
1,India,UttarPradesh,Lucknow,Lucknow,Kankaha,,226301
1,India,UttarPradesh,Lucknow,Lucknow,Karora,,226303
1,India,UttarPradesh,Lucknow,Lucknow,Kasimpur Biruha,,226501
1,India,UttarPradesh,Lucknow,Lucknow,Kasmandi Kalan,,226102
1,India,UttarPradesh,Lucknow,Lucknow,Kasmandi Khurd,,226102
1,India,UttarPradesh,Lucknow,Lucknow,Katauli,,226102
1,India,UttarPradesh,Lucknow,Lucknow,Kathwara,,226201
1,India,UttarPradesh,Lucknow,Lucknow,Kathwara,,226202
1,India,UttarPradesh,Lucknow,Lucknow,Keoli,,226303
1,India,UttarPradesh,Lucknow,Lucknow,Khalispur,,226101
1,India,UttarPradesh,Lucknow,Lucknow,Khantari,,226203
1,India,UttarPradesh,Lucknow,Lucknow,Kharika,,226002
1,India,UttarPradesh,Lucknow,Lucknow,Kharsara,,226104
1,India,UttarPradesh,Lucknow,Lucknow,Khushalganj,,226101
1,India,UttarPradesh,Lucknow,Lucknow,Kotwa,,226201
1,India,UttarPradesh,Lucknow,Lucknow,Kumharawan.,,226203
1,India,UttarPradesh,Lucknow,Lucknow,Kusmaura,,226301
1,India,UttarPradesh,Lucknow,Lucknow,L D A Colony,,226012
1,India,UttarPradesh,Lucknow,Lucknow,Lalbagh,,226001
1,India,UttarPradesh,Lucknow,Lucknow,Laulai,,226010
1,India,UttarPradesh,Lucknow,Lucknow,Laulai,,226028
1,India,UttarPradesh,Lucknow,Lucknow,Locomotive W Shop,,226005
1,India,UttarPradesh,Lucknow,Lucknow,Lonikatra,,226020
1,India,UttarPradesh,Lucknow,Lucknow,Lucknow Chowk,,226003
1,India,UttarPradesh,Lucknow,Lucknow,Lucknow G.P.O.,,226001
1,India,UttarPradesh,Lucknow,Lucknow,M N Colony,,226006
1,India,UttarPradesh,Lucknow,Lucknow,Madiyaon,,226021
1,India,UttarPradesh,Lucknow,Lucknow,Mahanagar,,226006
1,India,UttarPradesh,Lucknow,Lucknow,Maharishi Vidya Mandir,,226020
1,India,UttarPradesh,Lucknow,Lucknow,Mahigawan,,226203
1,India,UttarPradesh,Lucknow,Lucknow,Mahmoodnagar,,226102
1,India,UttarPradesh,Lucknow,Lucknow,Mahona,,226203
1,India,UttarPradesh,Lucknow,Lucknow,Malesemau,,226010
1,India,UttarPradesh,Lucknow,Lucknow,Malha,,226101
1,India,UttarPradesh,Lucknow,Lucknow,Malhaur,,226028
1,India,UttarPradesh,Lucknow,Lucknow,Malihabad,,226102
1,India,UttarPradesh,Lucknow,Lucknow,Mall,,226104
1,India,UttarPradesh,Lucknow,Lucknow,Manaknagar,,226011
1,India,UttarPradesh,Lucknow,Lucknow,Manasnagar,,226023
1,India,UttarPradesh,Lucknow,Lucknow,Mansoor Nagar,,226003
1,India,UttarPradesh,Lucknow,Lucknow,Mastipur,,226302
1,India,UttarPradesh,Lucknow,Lucknow,Mati,,226002
1,India,UttarPradesh,Lucknow,Lucknow,Maunda,,226008
1,India,UttarPradesh,Lucknow,Lucknow,Mawai Kalan,,226103
1,India,UttarPradesh,Lucknow,Lucknow,Mawai Khurd,,226104
1,India,UttarPradesh,Lucknow,Lucknow,Mawai Padiyana,,226008
1,India,UttarPradesh,Lucknow,Lucknow,Medical College,,226003
1,India,UttarPradesh,Lucknow,Lucknow,Meeraknagar,,226302
1,India,UttarPradesh,Lucknow,Lucknow,Mehmoodpur,,226501
1,India,UttarPradesh,Lucknow,Lucknow,Military Hospital,,226002
1,India,UttarPradesh,Lucknow,Lucknow,Mill Road,,226004
1,India,UttarPradesh,Lucknow,Lucknow,Mohanlalganj,,226301
1,India,UttarPradesh,Lucknow,Lucknow,Mohari Khurd,,226301
1,India,UttarPradesh,Lucknow,Lucknow,Munnu Khera,,226104
1,India,UttarPradesh,Lucknow,Lucknow,Nabipanah,,226104
1,India,UttarPradesh,Lucknow,Lucknow,Nadan Mahal ,,226003
1,India,UttarPradesh,Lucknow,Lucknow,Nadwa,,226007
1,India,UttarPradesh,Lucknow,Lucknow,Nagram,,226303
1,India,UttarPradesh,Lucknow,Lucknow,Narain Nagar,,226016
